,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),LargestUseTypeGFA(Percentage),SecondLargestUseTypeGFA(Percentage),ThirdLargestUseTypeGFA(Percentage),ParkingGFA(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses
1509,Store,47.53747,-122.28308,0.3010299956639812,4.416524014268653,Store,ServiceFacility,None,40.0,6.881923395501072,2.242417184417719,65.69,0.0,34.31,99.44,0.0,0.0,0.0,0.0,63,2
1512,ServiceFacility,47.55045,-122.32749,0.3010299956639812,4.406557211256173,ServiceFacility,None,None,98.0,6.084172446582642,1.7505083948513462,16.37,0.0,83.63,100.0,0.0,0.0,0.0,0.0,49,1
1513,ServiceFacility,47.5478,-122.32307,0.3010299956639812,4.622172560893429,ServiceFacility,ServiceFacility,None,,6.094230855063232,1.4164740791002208,71.34,0.0,28.66,89.57,6.2,0.0,0.0,0.0,55,2
1514,Store,47.54912,-122.32184,0.3010299956639812,4.749689947134912,Store,None,None,,6.397582654478605,1.6803355134145632,74.42,0.0,25.58,100.0,0.0,0.0,0.0,0.0,58,1
1518,School,47.6712,-122.37568,0.3010299956639812,4.5496039884441215,School,None,None,97.0,6.1398581579382485,1.7877437716464668,20.33,0.0,79.67,100.0,0.0,0.0,0.0,0.0,94,1
1519,Store,47.66986,-122.37418,0.3010299956639812,4.4656058906462865,Store,None,None,8.0,6.970172007276384,2.3212462129905913,66.7,0.0,33.3,100.0,0.0,0.0,0.0,0.0,50,1
1522,Store,47.66828,-122.37428,0.3010299956639812,4.949897200545684,Store,ServiceFacility,None,34.0,7.147041605240391,2.5864185045859727,55.65,0.0,44.35,52.79,0.0,0.0,48.3,0.0,16,2
1523,ServiceFacility,47.66621,-122.37502,0.3010299956639812,4.505163549810412,Leisure,ServiceFacility,None,,6.124218228303362,1.6663307443019686,41.22,0.0,58.78,93.38,14.69,0.0,0.0,0.0,55,2
1524,ServiceFacility,47.66389,-122.37307,0.3010299956639812,4.493332554523328,ServiceFacility,Store,ServiceFacility,,5.971081538533456,1.600537294364469,25.08,0.0,74.92,47.66,30.19,22.16,0.0,0.0,106,3
1525,ServiceFacility,47.6644,-122.37246,0.3010299956639812,4.617828277617751,ServiceFacility,ServiceFacility,None,3.0,6.482296510168499,1.898834838068274,59.27,0.0,40.73,76.99,23.01,0.0,0.0,0.0,41,2
1526,ServiceFacility,47.66411,-122.37185,0.3010299956639812,4.600330230580766,ServiceFacility,None,None,2.0,5.876278475880634,0.795184589682424,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36,1
1534,ServiceFacility,47.66984,-122.3842,0.3010299956639812,4.485394873249012,ServiceFacility,ServiceFacility,None,,6.185612052793046,1.5968169359155906,60.66,0.0,39.34,49.06,10.14,0.0,50.94,0.0,12,2
1537,ServiceFacility,47.66894,-122.38242,0.3010299956639812,4.333023857758089,Leisure,None,None,,5.487014002042516,0.8813846567705729,68.4,0.0,31.6,100.0,0.0,0.0,0.0,0.0,92,1
