,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),LargestUseTypeGFA(Percentage),SecondLargestUseTypeGFA(Percentage),ThirdLargestUseTypeGFA(Percentage),ParkingGFA(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses
338,ServiceFacility,47.62855,-122.33035,0.3010299956639812,5.748588788909995,ServiceFacility,ServiceFacility,None,71.0,7.4783283186060725,2.801678059035893,69.55,0.0,30.45,66.46,33.74,0.0,36.86,0.0,14,2
339,ServiceFacility,47.62621,-122.33128,0.3010299956639812,5.355246489338807,ServiceFacility,ServiceFacility,None,49.0,7.077855676503462,1.9806395674437371,97.96,0.0,2.04,58.07,36.71,0.0,41.93,0.0,15,2
340,ServiceFacility,47.62855,-122.33035,0.3010299956639812,5.729122654602119,ServiceFacility,ServiceFacility,None,,8.118509029872873,3.6016743838366274,49.19,0.0,50.81,100.0,19.4,0.0,0.0,0.0,19,2
341,ServiceFacility,47.62121,-122.33885,0.3010299956639812,5.20330763556943,ServiceFacility,ServiceFacility,ServiceFacility,,7.496536931978676,2.862107516323284,64.89,0.0,35.11,45.34,30.88,23.42,31.72,0.0,13,4
342,ServiceFacility,47.62137,-122.33744,0.3010299956639812,5.321840673119158,ServiceFacility,ServiceFacility,ServiceFacility,97.0,6.839947880780092,2.0922994765742495,76.67,0.0,23.33,54.24,37.7,7.53,35.11,0.8450980400142568,10,4
343,ServiceFacility,47.62131,-122.33814,0.3010299956639812,5.48159166769875,ServiceFacility,ServiceFacility,ServiceFacility,97.0,6.876187086602286,1.8487431818956837,95.05,0.0,4.95,58.93,32.78,1.98,36.26,0.8450980400142568,10,3
344,ServiceFacility,47.62002,-122.33687,0.3010299956639812,4.8285374520481765,ServiceFacility,ServiceFacility,Leisure,66.0,6.4402524235624865,1.8756399370041683,56.83,0.0,43.17,44.13,25.78,20.24,0.0,0.0,62,5
345,MedicalFacility,47.62405,-122.34036,0.3010299956639812,5.009603849305025,MedicalFacility,None,None,,7.387304899225065,2.7694954853699985,62.94,0.0,37.06,100.88,0.0,0.0,0.0,0.0,53,1
346,ServiceFacility,47.62405,-122.34036,0.3010299956639812,5.6399822581424965,MedicalFacility,ServiceFacility,ServiceFacility,,7.65564120465581,3.0088257759731616,66.28,0.0,33.72,40.18,39.69,20.37,35.21,0.0,8,3
347,ServiceFacility,47.62115,-122.3597,0.3010299956639812,4.944793476277415,ServiceFacility,ServiceFacility,None,80.0,6.533462204935101,1.394626764272209,100.0,0.0,0.0,73.53,24.3,0.0,23.65,0.0,42,2
348,ServiceFacility,47.62224,-122.3585,0.3010299956639812,4.940411883069223,ServiceFacility,ServiceFacility,None,69.0,6.56021934203535,1.420285884941918,100.0,0.0,0.0,76.45,17.4,0.0,23.42,0.0,44,2
349,ServiceFacility,47.62224,-122.3585,0.3010299956639812,4.940411883069223,ServiceFacility,ServiceFacility,None,86.0,6.543210366010984,1.4039779636693548,100.0,0.0,0.0,76.56,32.45,0.0,23.42,0.0,46,2
350,ServiceFacility,47.62014,-122.35768,0.3010299956639812,4.944487607286695,ServiceFacility,ServiceFacility,None,75.0,6.5421923766883525,1.4029488293444048,100.0,0.0,0.0,79.19,19.87,0.0,24.55,0.0,45,2
351,MedicalFacility,47.65821,-122.31831,0.3010299956639812,5.293914741031102,MedicalFacility,ServiceFacility,None,5.0,7.282511474897404,2.6802176304388063,61.07,0.0,38.93,55.07,44.93,0.0,44.93,0.0,28,2
352,MedicalFacility,47.65884,-122.3183,0.3010299956639812,5.2816627516602965,MedicalFacility,None,None,21.0,6.925459685277853,1.8975721138257307,95.04,0.0,4.96,50.19,0.0,0.0,49.81,0.0,22,1
354,ServiceFacility,47.56885,-122.37121,0.3010299956639812,4.993330399659162,ServiceFacility,None,None,83.0,6.037624724063717,1.369957607346053,70.52,0.0,29.48,100.0,0.0,0.0,0.0,0.0,19,1
355,MedicalFacility,47.62667,-122.32965,0.3010299956639812,5.5459636295985,MedicalFacility,None,None,23.0,7.630525758241489,3.0143651057645746,62.71,0.0,37.29,61.33,0.0,0.0,42.8,0.0,16,1
356,Store,47.7237,-122.29232,0.3010299956639812,5.489910690347767,Store,ServiceFacility,ServiceFacility,78.0,7.161750821293321,2.4455730699367693,73.6,0.0,26.4,39.19,0.0,0.0,60.81,0.0,21,2
357,Store,47.56895,-122.33775,0.3010299956639812,4.800895706993073,Store,None,None,100.0,6.814417583420942,1.6671726724788685,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8,1
358,ServiceFacility,47.56548,-122.35378,0.3010299956639812,5.056069746381774,ServiceFacility,ServiceFacility,None,,6.553220556157406,2.0898344887086298,41.15,0.0,58.85,80.45,19.55,0.0,0.0,0.0,61,2
359,ServiceFacility,47.56419,-122.34262,0.3010299956639812,5.385686691056537,ServiceFacility,None,None,100.0,6.144911316523256,1.631443769013172,50.21,0.0,49.79,133.9,0.0,0.0,0.0,0.0,17,1
360,ServiceFacility,47.64942,-122.35024,0.3010299956639812,5.447550270246395,ServiceFacility,ServiceFacility,Store,,7.061516676035138,1.9101973699660009,100.0,0.0,0.0,55.78,41.55,2.68,55.78,0.0,15,3
361,ServiceFacility,47.63549,-122.34103,0.3010299956639812,4.822579940524404,ServiceFacility,ServiceFacility,None,,6.837363689508857,1.6896639650157703,100.0,0.0,0.0,108.33,22.57,0.0,19.56,0.0,64,2
362,Store,47.72053,-122.34739,0.3010299956639812,5.118555701816099,Store,None,None,72.0,6.943151050057101,2.047119038720181,87.82,0.0,12.18,82.15,0.0,0.0,0.0,0.0,19,1
363,ServiceFacility,47.72377,-122.34095,0.3010299956639812,4.97497659485084,ServiceFacility,None,None,38.0,5.894518483148302,1.0507663112330423,86.8,0.0,13.2,71.14,0.0,0.0,0.0,0.0,17,1
364,ServiceFacility,47.72546,-122.34659,0.8450980400142568,5.0488339676055745,Store,ServiceFacility,None,,6.9918823834652,2.35684775135924,65.11,0.0,34.89,111.02,0.0,0.0,0.0,0.0,52,2
365,Store,47.72803,-122.34214,0.3010299956639812,5.160699573142378,Store,None,None,56.0,7.127884531644266,2.3772880336357036,76.78,0.0,23.22,100.0,0.0,0.0,0.0,0.0,32,1
366,Store,47.7249,-122.34332,0.3010299956639812,5.056908660920483,Store,Store,None,79.0,7.236170450234124,2.7437213729329897,45.49,0.0,54.51,50.71,49.4,0.0,0.0,0.0,49,2
367,Store,47.7235,-122.34458,0.3010299956639812,4.699699006874801,Store,ServiceFacility,None,78.0,6.937703004434661,2.2039027811100604,75.35,0.0,24.65,99.96,0.0,0.0,0.0,0.0,19,2
368,ServiceFacility,47.65086,-122.35412,0.3010299956639812,5.093673782969122,ServiceFacility,None,None,73.0,6.698219024839032,1.5550944485783191,99.96,0.0,0.04,77.78,0.0,0.0,23.09,0.0,28,1
369,ServiceFacility,47.64963,-122.35158,0.3010299956639812,4.95424733490676,ServiceFacility,None,None,84.0,6.590812754572576,1.4497868469857733,100.0,0.0,0.0,100.0,0.0,0.0,40.59,0.0,16,1
370,ServiceFacility,47.64849,-122.35041,0.3010299956639812,4.982461195324181,ServiceFacility,ServiceFacility,None,70.0,6.7334716428947745,1.588159616383092,100.0,0.0,0.0,64.8,35.1,0.0,35.1,0.0,15,2
371,ServiceFacility,47.64822,-122.34848,0.3010299956639812,5.448641402711005,ServiceFacility,ServiceFacility,ServiceFacility,96.0,7.05405792126307,1.9798669225649028,97.01,0.0,2.97,54.31,33.42,2.67,40.87,0.9030899869919435,17,4
372,ServiceFacility,47.64882,-122.34905,0.3010299956639812,5.386204580010346,ServiceFacility,ServiceFacility,None,89.0,6.937108278569865,1.934548947666147,93.81,0.0,6.19,57.12,10.09,0.0,42.34,0.6020599913279624,17,2
373,ServiceFacility,47.6074,-122.33777,0.3010299956639812,5.189380813892449,Leisure,Leisure,Leisure,,7.723954512120798,3.210676939110188,65.97,33.13,0.9,77.47,40.8,17.06,0.0,0.0,25,9
374,ServiceFacility,47.55146,-122.32832,0.3010299956639812,5.591394100379816,ServiceFacility,ServiceFacility,None,95.0,6.885580912938979,1.736953953783146,100.0,0.0,0.0,62.27,27.78,0.0,31.1,0.0,34,2
375,ServiceFacility,47.54983,-122.32858,0.3010299956639812,4.95424733490676,ServiceFacility,ServiceFacility,None,87.0,6.155077015949174,1.2593549273080344,89.07,0.0,10.93,77.78,22.22,0.0,0.0,0.0,49,2
376,Store,47.55032,-122.32614,0.3010299956639812,4.7007123683433525,Store,None,None,,6.020138276516938,1.5213996281153757,48.45,0.0,51.55,100.0,0.0,0.0,0.0,0.0,50,1
377,ServiceFacility,47.66891,-122.38528,0.3010299956639812,4.97328491043565,ServiceFacility,Store,ServiceFacility,,6.677442601382337,2.0836459276955845,60.34,0.0,39.66,57.42,26.31,4.79,6.59,0.0,91,5
378,ServiceFacility,47.66724,-122.38553,0.3010299956639812,4.80099872860755,ServiceFacility,None,None,100.0,5.357110626085373,0.9614210940664483,37.53,0.0,62.47,100.0,0.0,0.0,0.0,0.0,75,1
379,ServiceFacility,47.66233,-122.3748,0.3010299956639812,5.509027693701782,ServiceFacility,Store,None,,7.232623752820675,2.617367343179719,62.67,0.0,37.33,56.51,40.49,0.0,56.51,0.0,8,2
380,ServiceFacility,47.64676,-122.37581,0.3010299956639812,5.11492441704115,ServiceFacility,ServiceFacility,None,,5.667951696445667,0.6283889300503115,100.0,0.0,0.0,100.0,6.75,0.0,17.96,0.0,28,2
381,ServiceFacility,47.65567,-122.37478,0.3010299956639812,5.025477910128321,ServiceFacility,None,None,94.0,6.050744673246516,1.4245549766067132,65.78,0.0,34.22,100.0,0.0,0.0,0.0,0.0,19,1
382,ServiceFacility,47.63634,-122.3754,0.3010299956639812,4.975298512500097,ServiceFacility,None,None,,6.000346374546321,1.533772058384718,43.25,0.0,56.75,100.0,0.0,0.0,0.0,0.0,60,1
383,ServiceFacility,47.59963,-122.32796,0.3010299956639812,5.259342976277285,ServiceFacility,ServiceFacility,ServiceFacility,88.0,6.882978914860411,1.734399742520567,100.0,0.0,0.0,83.02,14.83,1.19,21.02,0.0,14,3
385,ServiceFacility,47.54769,-122.3251,0.3010299956639812,4.357572784051678,ServiceFacility,None,None,33.0,5.604282564407834,0.5797835966168101,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50,1
386,ServiceFacility,47.54187,-122.32714,0.3010299956639812,5.095075156872045,ServiceFacility,ServiceFacility,None,62.0,6.737571331880579,2.3772333767527494,20.97,0.0,79.03,99.96,0.0,0.0,0.0,0.0,49,2
387,ServiceFacility,47.60411,-122.33225,0.3010299956639812,5.357090199607801,ServiceFacility,ServiceFacility,None,95.0,6.929082651630435,1.779668627207148,100.0,0.0,0.0,100.0,34.23,0.0,43.31,0.0,46,2
388,ServiceFacility,47.54187,-122.32714,0.3010299956639812,4.699542895027403,ServiceFacility,ServiceFacility,None,72.0,6.184552675694645,1.6399842480415885,54.68,0.0,45.32,99.71,0.0,0.0,0.0,0.0,49,2
389,ServiceFacility,47.54621,-122.33486,0.3010299956639812,4.759977405185661,ServiceFacility,None,None,26.0,6.412071944670215,1.8903092168999485,50.76,0.0,49.24,100.0,0.0,0.0,0.0,0.0,47,1
390,ServiceFacility,47.54853,-122.32814,0.3010299956639812,4.93146295607471,ServiceFacility,None,None,49.0,6.18667365557981,1.0689276116820718,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50,1
391,ServiceFacility,47.54912,-122.32819,0.3010299956639812,4.745862992132139,ServiceFacility,None,None,63.0,5.71584220201604,0.6646419755561255,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50,1
392,ServiceFacility,47.54965,-122.3278,0.3010299956639812,4.7263277677991145,ServiceFacility,ServiceFacility,None,96.0,6.253868008188043,1.6806074289917878,58.42,0.0,41.58,99.08,0.0,0.0,0.0,0.0,52,2
393,ServiceFacility,47.62476,-122.34843,0.3010299956639812,4.8958257112293095,ServiceFacility,None,None,98.0,6.338400858511813,1.4717316514800511,86.64,0.0,13.36,100.0,0.0,0.0,36.13,0.0,29,1
394,ServiceFacility,47.71286,-122.34422,0.3010299956639812,4.810642416810082,ServiceFacility,None,None,89.0,5.512569671835071,0.8645110810583919,73.06,0.0,26.94,100.0,0.0,0.0,0.0,0.0,30,1
395,ServiceFacility,47.61552,-122.31744,0.3010299956639812,4.8799269556700935,ServiceFacility,ServiceFacility,ServiceFacility,,6.5663419604737046,1.5963771439975991,92.47,0.0,7.53,37.5,37.5,25.0,26.27,0.0,89,3
396,ServiceFacility,47.5701,-122.33342,0.3010299956639812,5.2086536143628575,ServiceFacility,None,None,25.0,6.971147350945973,2.313466472658235,67.67,0.0,32.33,100.46,0.0,0.0,0.0,0.0,48,1
397,ServiceFacility,47.56874,-122.33303,0.3010299956639812,5.004759746890433,ServiceFacility,None,None,1.0,7.338373431822823,2.186702122565101,99.92,0.0,0.08,100.0,0.0,0.0,0.0,0.0,67,1
398,ServiceFacility,47.57023,-122.33241,0.3010299956639812,4.721101320460742,ServiceFacility,None,None,80.0,6.02590332601983,1.5187770689267748,49.73,0.0,50.27,113.1,0.0,0.0,0.0,0.0,36,1
399,ServiceFacility,47.56785,-122.33361,0.3010299956639812,4.752885483124873,ServiceFacility,ServiceFacility,None,,6.707075821003778,1.8768526476013434,83.49,0.0,16.51,80.09,20.35,0.0,0.0,0.0,76,2
400,ServiceFacility,47.56637,-122.33273,0.3010299956639812,5.017450729510536,ServiceFacility,ServiceFacility,ServiceFacility,,7.247860899598675,2.15642799231805,97.67,0.0,2.33,96.06,3.94,0.0,0.0,0.0,63,3
401,Store,47.69267,-122.35506,0.3010299956639812,4.764811038655738,Store,ServiceFacility,None,41.0,7.167768028476271,2.6184978556175,54.07,0.0,45.93,88.89,0.0,0.0,12.8,0.0,13,2
402,Store,47.73315,-122.3105,0.3010299956639812,4.7670147902625395,Store,None,None,37.0,7.043540518342263,2.437020842585606,61.67,0.0,38.33,75.98,0.0,0.0,0.0,0.0,36,1
403,ServiceFacility,47.62029,-122.33078,0.3010299956639812,5.527244406242074,ServiceFacility,ServiceFacility,Store,95.0,6.957076280564498,1.747567162737625,86.96,0.0,0.0,64.74,1.36,0.0,37.07,0.0,11,3
404,Store,47.62,-122.33027,0.3010299956639812,5.421618732111171,Store,None,None,42.0,6.997286231707986,2.2824181708776474,73.54,0.0,26.46,37.45,0.0,0.0,60.6,0.0,20,1
405,ServiceFacility,47.59367,-122.30957,0.3010299956639812,4.793936986698624,ServiceFacility,ServiceFacility,ServiceFacility,32.0,6.735938418765354,1.5971464878336954,99.76,0.0,0.24,97.52,22.15,2.13,0.0,0.0,102,3
406,ServiceFacility,47.59388,-122.31124,0.3010299956639812,4.815783557791304,ServiceFacility,ServiceFacility,None,89.0,6.502570017597086,1.9601852766046108,53.62,0.0,46.38,92.82,12.44,0.0,0.0,0.0,46,2
407,ServiceFacility,47.66517,-122.30186,0.3010299956639812,5.009837424305689,ServiceFacility,ServiceFacility,None,26.0,6.782671200404,1.7004441010277516,97.53,0.0,2.47,81.84,18.16,0.0,41.49,0.0,10,2
408,ServiceFacility,47.6144,-122.30982,0.3010299956639812,4.903117129548867,ServiceFacility,None,None,,7.08750191047922,1.9359101364305074,100.0,0.0,0.0,93.58,0.0,0.0,0.0,0.0,90,1
409,ServiceFacility,47.56407,-122.32765,0.3010299956639812,5.510433741503383,ServiceFacility,ServiceFacility,None,92.0,6.904394465148511,2.420698202908807,44.22,0.0,55.78,81.36,18.64,0.0,0.0,0.0,25,2
410,ServiceFacility,47.5928,-122.31599,0.3010299956639812,5.482949292823573,ServiceFacility,ServiceFacility,MedicalFacility,66.0,7.322785514317117,2.395064164331242,89.61,0.0,10.39,72.0,51.47,27.64,0.0,0.47712125471966244,84,3
411,ServiceFacility,47.64037,-122.32626,0.3010299956639812,4.931386669035939,ServiceFacility,ServiceFacility,ServiceFacility,,6.686192588719858,1.5422027824340283,100.0,0.0,0.0,58.83,29.89,3.37,36.55,0.0,38,3
412,ServiceFacility,47.53687,-122.33316,0.3010299956639812,4.991336850972244,ServiceFacility,ServiceFacility,None,94.0,6.298489666532732,1.635986111800833,69.05,0.0,30.95,65.18,34.39,0.0,0.0,0.0,27,2
413,ServiceFacility,47.62405,-122.33084,0.3010299956639812,4.812920038045028,ServiceFacility,ServiceFacility,ServiceFacility,,6.415629680420762,1.812177774158754,61.93,0.0,38.07,30.77,23.08,15.38,23.08,0.0,88,3
414,ServiceFacility,47.62488,-122.33007,0.3010299956639812,5.1600901970262365,ServiceFacility,ServiceFacility,None,62.0,6.71054391550928,1.5658478186735176,100.0,0.0,0.0,54.31,46.1,0.0,46.08,0.0,26,2
415,Store,47.70759,-122.3255,0.3010299956639812,5.481174515831579,Store,None,None,97.0,6.862776703873253,2.1149110840818914,76.68,0.0,23.32,100.0,0.0,0.0,0.0,0.0,66,1
416,ServiceFacility,47.70744,-122.33171,0.3010299956639812,4.936518769006308,ServiceFacility,None,None,53.0,6.958086948604834,2.469159027072012,45.04,0.0,54.96,90.51,0.0,0.0,0.0,0.0,42,1
417,ServiceFacility,47.7094,-122.31843,0.3010299956639812,4.99361255793889,Store,None,None,,6.73643176236968,1.6766021695820184,96.62,0.0,3.38,100.0,0.0,0.0,0.0,0.0,47,1
418,ServiceFacility,47.70732,-122.33279,0.3010299956639812,4.936935768107067,ServiceFacility,ServiceFacility,None,56.0,6.803541610482042,1.656577291396114,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,35,2
419,ServiceFacility,47.53926,-122.34143,0.3010299956639812,4.7126581181053835,ServiceFacility,ServiceFacility,None,75.0,6.050976501006017,1.3636119798921444,72.52,0.0,27.48,66.67,33.33,0.0,0.0,0.0,40,2
420,ServiceFacility,47.53689,-122.33847,0.3010299956639812,5.147741231732972,ServiceFacility,None,None,61.0,6.347430135491952,1.7688600008429571,58.89,0.0,41.11,100.0,0.0,0.0,0.0,0.0,48,1
421,ServiceFacility,47.63116,-122.34193,0.3010299956639812,5.187605315418149,ServiceFacility,ServiceFacility,None,95.0,6.666180662980961,1.7772817916710149,87.58,0.0,12.42,59.5,43.04,0.0,40.5,0.0,30,2
422,ServiceFacility,47.70887,-122.33494,0.3010299956639812,5.208951675007825,ServiceFacility,MedicalFacility,None,,6.842834908022328,1.7013952690139202,99.77,0.0,0.23,56.82,43.18,0.0,56.82,0.0,11,2
423,MedicalFacility,47.7126,-122.33782,0.3010299956639812,4.805568817548556,MedicalFacility,Store,None,,6.678131666621134,1.5342800052050816,100.0,0.0,0.0,94.93,5.07,0.0,0.0,0.0,11,2
424,ServiceFacility,47.69814,-122.34295,0.3010299956639812,4.728134550041936,ServiceFacility,ServiceFacility,None,,5.987289277166295,1.5440680443502757,39.23,0.0,60.77,87.61,18.76,0.0,0.0,0.0,68,2
425,ServiceFacility,47.52696,-122.32913,0.3010299956639812,4.702585613926875,ServiceFacility,None,None,14.0,6.266561409454912,1.775756037844098,46.28,0.0,53.72,100.0,0.0,0.0,0.0,0.0,36,1
426,Leisure,47.60613,-122.34115,0.3010299956639812,4.6407695459602785,Leisure,None,None,,7.061001211801613,2.7868862312066125,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,116,1
427,MedicalFacility,47.70449,-122.33272,0.3010299956639812,5.124826891378518,MedicalFacility,None,None,21.0,7.1942643771934245,2.4719954019748225,74.17,0.0,25.83,100.0,0.0,0.0,0.0,0.0,55,1
428,Store,47.70759,-122.3255,0.3010299956639812,5.226909084965482,Store,None,None,78.0,6.809952052044411,1.964259630196849,84.53,0.0,15.47,102.66,0.0,0.0,0.0,0.3010299956639812,51,1
429,ServiceFacility,47.63451,-122.32505,0.3010299956639812,5.401104016357379,ServiceFacility,MedicalFacility,ServiceFacility,,7.673043303606524,3.0635022392639786,61.9,0.0,38.1,45.0,33.36,33.36,45.0,0.0,14,3
430,ServiceFacility,47.6244,-122.33157,0.3010299956639812,5.245231272290207,ServiceFacility,ServiceFacility,None,91.0,6.8120022874860835,1.6648299411430905,100.0,0.0,0.0,59.11,40.59,0.0,40.59,0.0,16,2
431,ServiceFacility,47.56089,-122.33474,0.3010299956639812,5.020307406899002,ServiceFacility,None,None,93.0,6.012152724457818,1.395501124305626,64.83,0.0,35.17,100.0,0.0,0.0,0.0,0.0,47,1
432,ServiceFacility,47.55787,-122.335,0.3010299956639812,4.724611703375373,ServiceFacility,None,None,,6.24798025918276,1.7067177823367587,54.01,0.0,45.99,96.96,0.0,0.0,78.43,0.0,16,1
433,ServiceFacility,47.55741,-122.33163,0.3010299956639812,5.04410838744612,ServiceFacility,None,None,,6.36918156720795,2.036748629172202,15.23,0.0,84.77,100.0,0.0,0.0,0.0,0.0,43,1
434,ServiceFacility,47.5563,-122.33186,0.3010299956639812,4.729334909058129,ServiceFacility,None,None,86.0,6.313647118553219,1.3639878297484915,91.82,0.0,8.18,100.0,0.0,0.0,0.0,0.3010299956639812,68,1
435,ServiceFacility,47.55623,-122.33316,0.3010299956639812,4.699048170308035,ServiceFacility,None,None,62.0,6.50545035191606,1.8215135284047732,70.91,0.0,29.09,100.0,0.0,0.0,0.0,0.0,78,1
436,ServiceFacility,47.6252,-122.36737,0.3010299956639812,5.464157067180908,ServiceFacility,ServiceFacility,None,98.0,6.823301357302745,1.705350462885712,98.92,0.0,1.08,66.86,38.19,0.0,34.4,0.0,7,2
437,ServiceFacility,47.56549,-122.33221,0.3010299956639812,4.706145741121137,ServiceFacility,ServiceFacility,None,63.0,6.406714416783326,2.0340666785975605,24.07,0.0,75.93,86.4,13.6,0.0,0.0,0.0,59,2
438,ServiceFacility,47.56158,-122.32754,0.3010299956639812,4.882837481488184,ServiceFacility,None,None,70.0,6.453782129851791,1.3281756614383224,99.64,0.0,0.36,100.17,0.0,0.0,0.0,0.0,45,1
439,ServiceFacility,47.56558,-122.32889,0.3010299956639812,4.993352449877331,ServiceFacility,None,None,65.0,6.452026765589569,1.6074550232146685,84.88,0.0,15.12,100.0,0.0,0.0,0.0,0.0,60,1
440,ServiceFacility,47.66113,-122.33572,0.3010299956639812,4.724300451611601,Store,ServiceFacility,Leisure,75.0,6.536765976901849,1.8129133566428555,74.81,0.0,25.19,59.62,51.75,34.21,0.0,0.0,112,4
441,ServiceFacility,47.63465,-122.32592,0.3010299956639812,5.245312747641296,ServiceFacility,ServiceFacility,MedicalFacility,,7.352764449402134,2.807338807112571,53.47,0.0,46.53,37.94,33.09,17.18,29.11,0.0,8,3
442,ServiceFacility,47.63108,-122.32746,0.3010299956639812,5.229901876877231,ServiceFacility,ServiceFacility,None,,7.282291610708432,2.609615749953064,69.17,0.0,30.83,62.43,37.57,0.0,37.57,0.0,96,2
443,ServiceFacility,47.63,-122.3396,0.3010299956639812,5.095943066436715,ServiceFacility,Leisure,ServiceFacility,58.0,7.1429579945702395,2.5644174867471095,58.07,0.0,41.93,86.27,12.51,9.62,0.0,0.0,45,4
444,ServiceFacility,47.63376,-122.33968,0.3010299956639812,4.973141713840715,ServiceFacility,ServiceFacility,None,70.0,6.752987889947017,1.6071332043915667,100.0,0.0,0.0,99.9,33.35,0.0,0.0,0.0,46,2
445,ServiceFacility,47.55515,-122.3275,0.3010299956639812,4.968581003979492,ServiceFacility,None,None,60.0,6.097717007083223,0.9881128402683519,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,42,1
446,ServiceFacility,47.6153,-122.35014,0.3010299956639812,4.361746717975897,ServiceFacility,ServiceFacility,None,,5.851942511492126,1.4271614029259656,36.65,0.0,63.35,88.3,11.69,0.0,0.0,0.0,70,2
447,Store,47.52095,-122.26825,0.3010299956639812,4.785714122351664,Store,ServiceFacility,None,32.0,7.118371417781176,2.4878451201114355,64.53,0.0,35.47,89.16,0.0,0.0,0.0,0.0,14,2
449,ServiceFacility,47.59895,-122.33379,0.3010299956639812,4.897192579516424,ServiceFacility,None,None,88.0,6.45189012438071,1.316599302093861,100.0,0.0,0.0,99.55,0.0,0.0,0.0,0.3010299956639812,112,1
450,ServiceFacility,47.59855,-122.33327,0.3010299956639812,4.997565483013901,ServiceFacility,Store,None,64.0,6.8199933622128315,2.132547842465581,70.92,0.0,29.08,65.45,23.99,0.0,0.0,0.0,110,2
451,ServiceFacility,47.59856,-122.33379,0.3010299956639812,4.864872842413673,ServiceFacility,None,None,82.0,6.455330769321572,1.3199384399803087,100.0,0.0,0.0,87.18,0.0,0.0,0.0,0.0,109,1
452,ServiceFacility,47.59979,-122.3338,0.3010299956639812,4.843967403896601,ServiceFacility,Store,None,87.0,6.338072929903264,1.890979596989689,57.17,35.4,7.43,49.63,37.3,0.0,0.0,0.0,116,2
453,ServiceFacility,47.60035,-122.33379,0.3010299956639812,4.928144831263553,ServiceFacility,Store,None,,6.321127145511329,1.4320066872695982,88.17,0.0,11.83,49.1,33.9,0.0,0.0,0.0,116,2
454,ServiceFacility,47.60146,-122.33248,0.3010299956639812,4.87792969455195,ServiceFacility,Store,Leisure,,6.552688014379941,1.4131320504348721,100.0,0.0,0.0,60.66,12.9,6.21,17.64,0.0,116,3
455,ServiceFacility,47.59962,-122.33247,0.3010299956639812,5.2158516181187595,ServiceFacility,Store,None,79.0,6.883987856485612,2.1182978013327767,80.94,5.22,13.84,75.2,12.65,0.0,0.0,0.0,116,2
456,ServiceFacility,47.59858,-122.33198,0.3010299956639812,5.205694158107652,ServiceFacility,None,None,98.0,6.637108153311334,2.0025548081484823,69.51,8.01,22.48,100.0,0.0,0.0,0.0,0.0,109,1
458,ServiceFacility,47.59871,-122.3299,0.3010299956639812,4.830947759347384,ServiceFacility,ServiceFacility,Leisure,,6.279776644292152,1.1547282074401555,100.0,0.0,0.0,49.66,29.08,17.69,0.0,0.0,110,4
459,ServiceFacility,47.59334,-122.32905,0.3010299956639812,4.753590718340035,ServiceFacility,ServiceFacility,ServiceFacility,37.0,6.37503704669894,1.5129510799724906,86.25,0.0,13.75,46.3,31.83,21.87,0.0,0.0,106,3
460,ServiceFacility,47.59366,-122.32666,0.3010299956639812,4.918308238281699,ServiceFacility,Store,None,83.0,6.333165950011902,1.8232133132826676,49.13,0.0,50.87,70.57,28.1,0.0,0.0,0.0,94,2
461,ServiceFacility,47.57941,-122.33131,0.3010299956639812,4.883337722572922,ServiceFacility,ServiceFacility,ServiceFacility,,6.599695128121614,2.125806458139527,42.87,0.0,57.13,66.06,23.55,9.95,0.0,0.0,63,3
462,ServiceFacility,47.57658,-122.33054,0.3010299956639812,4.967515215701226,ServiceFacility,ServiceFacility,None,56.0,6.49906777161773,1.8761023213777936,64.16,0.0,35.84,91.97,14.48,0.0,0.0,0.0,54,2
463,ServiceFacility,47.58444,-122.33282,0.47712125471966244,5.0987129305788805,ServiceFacility,None,None,,6.351084392628959,1.2214142378423387,100.0,0.0,0.0,113.85,0.0,0.0,0.0,0.0,75,1
464,ServiceFacility,47.58361,-122.33369,0.3010299956639812,5.1105930769100905,ServiceFacility,None,None,80.0,6.640943014584105,1.4983105537896004,100.0,0.0,0.0,81.29,0.0,0.0,20.0,0.0,116,1
465,ServiceFacility,47.58781,-122.33264,0.3010299956639812,4.8966088798915886,ServiceFacility,None,None,69.0,5.935494103277988,1.2425414282983842,73.68,0.0,26.32,100.0,0.0,0.0,0.0,0.0,62,1
466,ServiceFacility,47.59486,-122.33368,0.3010299956639812,4.770638492383532,ServiceFacility,ServiceFacility,Leisure,,6.249543881611959,1.6251065754034675,64.87,0.0,35.13,67.61,19.67,11.87,0.0,0.0,112,4
