,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ElectricityUse(Percentage),SteamUse(Percentage),NaturalGasUse(Percentage),NumberOfYearsENERGYSTARCertified,BuildingAge,NumberOfPropertyUses,PrimaryPropertyType_Commercial,PrimaryPropertyType_Education,PrimaryPropertyType_Health,PrimaryPropertyType_Hospitality,PrimaryPropertyType_Other,PrimaryPropertyType_Residential,PrimaryPropertyType_ServiceFacility,LargestPropertyUseType_Commercial,LargestPropertyUseType_Education,LargestPropertyUseType_Health,LargestPropertyUseType_Hospitality,LargestPropertyUseType_Leisure,LargestPropertyUseType_Other,LargestPropertyUseType_Residential,LargestPropertyUseType_ServiceFacility,SecondLargestPropertyUseType_ Commercial,SecondLargestPropertyUseType_Commercial,SecondLargestPropertyUseType_Education,SecondLargestPropertyUseType_Health,SecondLargestPropertyUseType_Hospitality,SecondLargestPropertyUseType_Leisure,SecondLargestPropertyUseType_None,SecondLargestPropertyUseType_Other,SecondLargestPropertyUseType_Residential,SecondLargestPropertyUseType_ServiceFacility,ThirdLargestPropertyUseType_Commercial,ThirdLargestPropertyUseType_Education,ThirdLargestPropertyUseType_Health,ThirdLargestPropertyUseType_Hospitality,ThirdLargestPropertyUseType_Leisure,ThirdLargestPropertyUseType_None,ThirdLargestPropertyUseType_Other,ThirdLargestPropertyUseType_Residential,ThirdLargestPropertyUseType_ServiceFacility
20,47.60265,-122.33051,1.0,10,540360,0,540360,537150.0,0.0,0.0,76.0,44984468.0,1265.29,2.34,54.147206987087195,0.0,45.852784120954816,0.0,100,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,47.60378,-122.32842,1.0,19,385274,0,385274,385274.0,0.0,0.0,,47859812.0,1699.45,4.41,38.14820877273818,0.0,61.85178913782612,0.0,31,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,47.65959,-122.31755,1.0,6,88592,30586,58006,58006.0,30586.0,0.0,84.0,3663534.5,90.01,1.02,61.85914176596399,0.0,38.14084458601386,0.0,15,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,47.61816,-122.33629,1.0,7,126593,0,126593,125000.0,0.0,0.0,,11343686.0,388.04,3.07,40.969698914444564,0.0,59.0302922700787,0.0,88,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,47.615,-122.33081,1.0,2,67224,0,67224,67224.0,0.0,0.0,,1310236.625,9.13,0.14,99.9999522986926,0.0,0.0,0.0,86,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,47.61301,-122.32929,1.0,8,158676,30301,128375,112676.0,42000.0,4500.0,,5328051.5,256.57,1.62,10.741393922337275,0.0,89.25861546195641,0.0,25,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,47.61784,-122.32966,1.0,10,171866,38281,133585,128909.0,0.0,0.0,57.0,11061916.0,328.63,1.91,50.720923933973104,0.0,49.2790760660269,0.0,15,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,47.61558,-122.34186,1.0,5,68410,16200,52210,47994.0,0.0,0.0,57.0,4456714.5,128.44,1.88,52.64750524180985,0.0,47.35248353916321,0.0,38,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,47.6641,-122.33118,1.0,3,87262,0,87262,40943.0,18153.0,4307.0,,4145920.5,157.77,1.81,32.63070288009623,0.0,67.36928505985583,0.0,110,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,47.66583,-122.29965,1.0,4,81871,0,81871,81871.0,0.0,0.0,29.0,6668568.5,215.0,2.63,45.233081132779844,0.0,54.76691136935911,0.0,22,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,47.66172,-122.29598,1.0,2,110356,0,110356,26225.0,0.0,0.0,,318364.8125,3.93,0.04,88.34676099765265,0.0,11.65329789704696,0.0,61,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,47.51138,-122.28875,3.0,2,714095,0,714095,616000.0,276000.0,71000.0,,44731160.0,311.84,0.44,99.99998435095357,0.0,0.0,0.0,55,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,47.65671,-122.39047,1.0,2,54986,0,54986,54986.0,0.0,0.0,97.0,1650279.25,31.47,0.57,73.7807858882065,0.0,26.2191989628422,789.0,26,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,47.66587,-122.38476,1.0,2,94900,0,94900,55586.0,39314.0,0.0,57.0,6186461.5,130.56,1.38,69.37059254308784,0.0,30.629399374747585,0.0,55,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,47.58034,-122.31132,1.0,2,52554,0,52554,51029.0,7849.0,0.0,83.0,2951331.25,83.86,1.6,53.526658520625226,0.0,46.47333300862111,0.0,116,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,47.68891,-122.33553,1.0,3,175015,0,175015,175015.0,0.0,0.0,95.0,6994740.5,247.85,1.42,38.31077078556381,0.0,61.689222066208174,0.0,62,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,47.61351,-122.35129,1.0,3,70586,0,70586,38439.0,28197.0,3859.0,,2158629.0,45.43,0.64,69.499158956912,0.0,30.500841043087995,0.0,105,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,47.60946,-122.33337,1.0,24,332210,205970,126240,348630.0,0.0,0.0,67.0,16163194.0,295.33,0.89,75.50739043285628,0.0,24.49260338024774,0.0,47,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,47.6113,-122.33659,1.0,5,168115,0,168115,103362.0,65676.0,493.0,78.0,9536161.0,66.48,0.4,99.99998951359986,0.0,0.0,789.0,43,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,47.61076,-122.33765,1.0,2,57428,0,57428,51747.0,5681.0,0.0,,1247362.0,33.26,0.58,57.31607985492584,0.0,42.68392014507417,0.0,96,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,47.61048,-122.33794,1.0,8,59400,0,59400,34947.0,4993.0,0.0,14.0,5071974.0,35.36,0.6,99.9999802838106,0.0,0.0,0.0,106,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,47.60886,-122.33744,1.0,2,52549,0,52549,23500.0,23500.0,5459.0,,15026196.0,584.31,11.12,30.82921985045317,0.0,69.17078014954683,0.0,90,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
